solvent1,solvent2,GE_RT_x05,gamma1_inf,gamma2_inf
Acetone,Acetonitrile,0.002745894411928,1.0672306334086303,0.9716574921582262
Acetone,Carbon tetrachloride,0.2362563264734496,2.755727342661289,2.289063314472776
Acetone,Chloroform,-1.294192961067847,0.0028270309013848,0.0257116099862659
Acetone,DMF,-0.0039441263429802,0.9849168499069678,0.983838730349975
Acetone,DMSO,0.0661976021172803,1.2209645348367977,1.4491331596517267
Acetone,Dichloromethane,-0.8213477632916433,0.0386761484300417,0.0557246581423883
Acetone,Diethyl ether,0.0985136139343985,1.4835164577188962,1.4707135900245765
Acetone,Dioxane,-0.0001933648933669,0.9986739683497622,0.999994157713556
Acetone,Ethyl acetate,-0.0014868243447376,0.9957853878548588,0.991415673315728
Acetone,Methyl acetate,-0.0045499061943021,0.982615341564662,0.9813438429209655
Acetone,NMP,-0.0177629662568148,0.9359204496758382,0.9270596354974748
Acetone,THF,0.0447100147208381,1.1933995467203853,1.1956892906302166
Acetone,Water,0.2637068250321608,2.9582126262019623,9.621268064101733
Acetonitrile,Acetic acid,-0.0524991987757362,0.878410250275711,0.7188477539630063
Acetonitrile,Carbon tetrachloride,0.6230578715464079,12.170940453380265,13.044869099973171
Acetonitrile,Chloroform,-0.5095376848744759,0.071926416301193,0.2563740419604247
Acetonitrile,DMF,-0.0992600797828657,0.6639302625599333,0.7123533330628079
Acetonitrile,DMSO,-0.1410924764497774,0.6118393590461053,0.5262371090670915
Acetonitrile,Dichloromethane,-0.3125729864196787,0.2819692305434853,0.2830033325841342
Acetonitrile,Diethyl ether,0.2787507896322299,2.48060275913738,3.972602127128248
Acetonitrile,Dioxane,0.0038672354773345,0.969708579083738,1.1001469416552343
Acetonitrile,Ethyl acetate,0.0728290244569742,1.240892339917199,1.5164134534487186
Acetonitrile,Methyl acetate,0.0328076245552524,1.1047842310356373,1.194158207877262
Acetonitrile,NMP,-0.1022902494469617,0.630881292824345,0.7986047916690734
Acetonitrile,THF,0.1279609519840452,1.3617038440093965,2.0757998183696134
Acetonitrile,Water,0.5447273738406917,7.337578301858612,44.0197162205513
Benzene,1-Butanol,0.3038176489992648,2.513671125758111,29.98094165713728
Benzene,1-Hexanol,0.2476683234542669,2.00997289689684,23.946091329064423
Benzene,1-Octanol,0.1966948504202755,1.678407328439211,18.51352214870164
Benzene,2-Propanol,0.3325534075870872,2.880306094790548,31.39901114031043
Benzene,Acetic acid,0.5310963350617723,6.08425720098574,147.56971499154176
Benzene,Acetone,0.0099149588903997,1.0057952451319985,1.0693644312468782
Benzene,Acetonitrile,0.2857447381907509,3.018165441097541,3.23707826451416
Benzene,Carbon tetrachloride,0.0832406598530036,1.3798014047601854,1.4134257289382262
Benzene,Chloroform,-0.0316193275215437,0.8728101396662911,0.8880635512685912
Benzene,DMF,0.0036608494468162,0.9568500557621265,1.0842188487212676
Benzene,DMSO,0.1811948292363898,1.531161072192179,3.248889674463089
Benzene,Dichloromethane,-0.0217093613724999,0.9047009233009948,0.926435900833698
Benzene,Diethyl ether,-0.0175082690154673,0.9266235873833916,0.9377480460258888
Benzene,Dioxane,0.0075844598017607,1.0065123924586334,1.0564531029390976
Benzene,Ethanol,0.386905204070514,3.659893769245909,41.886474684560206
Benzene,Ethyl acetate,-0.0133072451980174,0.9463400005188352,0.9516455877728676
Benzene,Ethylbenzene,0.0003843960786529,0.9998959471898292,1.0040101503888554
Benzene,Methanol,0.5025676520176701,6.20119209968379,102.7617944934011
Benzene,Methyl acetate,0.0219134638830633,1.0665819347514718,1.115062356278722
Benzene,NMP,-0.0649475875334668,0.7798023660441913,0.7669933976937435
Benzene,Propanol,0.3425043463932586,2.9659747794261704,35.22815626519502
Benzene,THF,-0.0499081930904514,0.8122476540206837,0.8259833528339583
Benzene,Toluene,0.0002946941915953,1.000818962923014,1.001622864432923
Benzene,Water,1.4387031154366583,2992.411974597719,27178.324931629413
Carbon tetrachloride,Acetic acid,0.7514870985341557,17.299971398226067,499.4463450457105
Carbon tetrachloride,Diethyl ether,0.0272301010219788,1.1081172955017768,1.1204044420089387
