MAE_ln_gamma1,MAE_ln_gamma2,MAE_GE_RT,RMSE_ln_gamma1,RMSE_ln_gamma2,RMSE_GE_RT,bias_GE_RT,max_abs_GE_RT_ct,n_points,solvent1,solvent2,T_K,class1,class2,class_pair,lle_found_ct,lle_x1_phase1,lle_x1_phase2
0.011101586253577773,0.010838623854035478,0.005185477294933514,0.012437699575906078,0.02227206258372919,0.006926094184618597,-0.005021829483253174,0.23743543543722617,19,Pentane,1-Hexanol,373.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.01552890370521682,0.012242383296657024,0.007746902659076577,0.016347791998276524,0.028808213414660937,0.009239993395591874,-0.007746902659076577,0.20862948859292646,19,Pentane,1-Hexanol,398.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.0262271019226008,0.028991396246693786,0.013385399110244897,0.03472684611214792,0.0389180343659572,0.014785934620559283,0.013313346434399935,0.2659862745513425,19,Pentane,1-Octanol,298.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.01974701291494536,0.022255070189041614,0.009457862664341364,0.026374324495906116,0.02909152997973389,0.01055535167297362,0.00896544807329958,0.2377918352873156,19,Pentane,1-Octanol,323.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.01476544515831043,0.016656507038501533,0.006341749024218423,0.019087105826101784,0.02135127195648015,0.007008184561378674,0.004851892641234372,0.20943608512157486,19,Pentane,1-Octanol,348.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.01169667088537708,0.01390350653583536,0.004561317154062692,0.01399245401116436,0.018277293453787452,0.00499530358938378,0.0014996047839695619,0.18252433004411214,19,Pentane,1-Octanol,373.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.010025885204950622,0.012335908964374712,0.003831245716925169,0.011357711702668872,0.018522191812974754,0.004486226211733924,-0.0005917874951548288,0.1577473335870818,19,Pentane,1-Octanol,398.15,Alkane,Alcohol,Alcohol + Alkane,False,,
0.11144191034695364,0.10741390996462324,0.059014711261732536,0.13881961090672826,0.15263219729483524,0.06337441399306604,0.059014711261732536,0.39122487462475686,19,Pentane,Acetone,298.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.10268646629116378,0.09964620730899554,0.05455129148413696,0.12921007519130512,0.1396744303016874,0.05852873139076181,0.05455129148413696,0.35561299626076803,19,Pentane,Acetone,323.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.09480123250610455,0.09251405665595785,0.05049990733869542,0.12034884853433067,0.12821726725787097,0.05414619791338438,0.05049990733869542,0.3241264538566001,19,Pentane,Acetone,348.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.08770704451389726,0.08599946565817922,0.046831701508559045,0.11221327803589648,0.11806138579926881,0.05018818798699508,0.046831701508559045,0.2962340431812875,19,Pentane,Acetone,373.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.081324235092228,0.08006559161406847,0.043513543095088175,0.10476425396629709,0.10903330807199346,0.04661464362425215,0.043513543095088175,0.27146462168305835,19,Pentane,Acetone,398.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.31304610030796204,0.3132569143761911,0.16898690573056308,0.42096084427556196,0.408760531707237,0.18064329015696687,0.16898690573056308,0.9395149914246099,19,Pentane,Acetonitrile,298.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.02244613,0.9713004
0.2894617989209671,0.290849616837746,0.1566661157538983,0.39136926971930214,0.37748443964076,0.1674439585301552,0.1566661157538983,0.8497581669561152,19,Pentane,Acetonitrile,323.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.03125465,0.95102373
0.2679381885548933,0.2701911894873305,0.14534082793708675,0.3640881343810669,0.34900151804847807,0.1553277043739031,0.14534082793708675,0.7703802211050106,19,Pentane,Acetonitrile,348.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.04357396,0.92151023
0.2484017341071267,0.2512705836436807,0.13500089821993622,0.3390790104144007,0.32319928688902555,0.1442744187284556,0.13500089821993622,0.7005400563585056,19,Pentane,Acetonitrile,373.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.06087438,0.8800866
0.2307508549903992,0.2340428693301865,0.1256130621703184,0.31627341601211867,0.2999327579854488,0.13424383966348094,0.1256130621703184,0.6391821268833049,19,Pentane,Acetonitrile,398.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.08562303,0.82312225
0.13924592562017496,0.13081037225226563,0.07310808116667797,0.1671312676381075,0.19668467879178073,0.07871518549327719,0.07310808116667797,0.4718254103133709,19,Pentane,DMF,298.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.67344511,0.6749392
0.13038645832866863,0.12351906326725046,0.06867692512060387,0.15811506392345678,0.18253752211408175,0.07384007518209683,0.06867692512060387,0.43578918999249705,19,Pentane,DMF,323.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.12208756936760139,0.11646343108227493,0.06448289839390656,0.14940934173088372,0.16965304115473248,0.06925823486180865,0.06448289839390656,0.40306671262156407,19,Pentane,DMF,348.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.11438572975009956,0.10975379541057052,0.06055956192671437,0.14112566911919458,0.15795582033590433,0.06499244978749638,0.06055956192671437,0.37342691414925344,19,Pentane,DMF,373.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.10727514240034998,0.10344269881418004,0.05691402549670175,0.13331677590512775,0.14734619280465638,0.061042327484899864,0.05691402549670175,0.3465979253849303,19,Pentane,DMF,398.15,Alkane,Polar aprotic,Alkane + Polar aprotic,False,,
0.16257420262016353,0.14961533703662414,0.08435962975124191,0.1906150849165235,0.23515683384922687,0.09144151995270877,0.08435962975124191,0.7604418557895007,19,Pentane,DMSO,298.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.14976338,0.98676566
0.15597571486030357,0.1445784165616607,0.08128067882570235,0.1846364282482423,0.22310138423396159,0.08786361624320026,0.08128067882570235,0.7095820728571005,19,Pentane,DMSO,323.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.16863128,0.97625019
0.1493666724225224,0.13945456144792753,0.07811888709462451,0.17839983928462877,0.21169057911850414,0.0842707020041271,0.07811888709462451,0.6627978015077516,19,Pentane,DMSO,348.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.19344403,0.96019895
0.14295328066620017,0.13439927571526533,0.07499982313363215,0.1721668169035043,0.2010398820302949,0.08077621672666176,0.07499982313363215,0.6193298397851297,19,Pentane,DMSO,373.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.22566207,0.93651141
0.13685945048706208,0.12949338585442427,0.07200114668066156,0.16610949178869738,0.19119592150669315,0.07744913399491586,0.07200114668066156,0.5792650226464003,19,Pentane,DMSO,398.15,Alkane,Polar aprotic,Alkane + Polar aprotic,True,0.2679426,0.90194556
