solvent1,solvent2,T_K,T_C,x1_phase1,x1_phase2
Decane,DMF,348.15,75.0,0.3,0.55
Decane,DMSO,298.15,25.0,0.03871583,0.98404314
Decane,DMSO,323.15,50.0,0.043336,0.97213609
Decane,DMSO,348.15,75.0,0.04977948,0.95494673
Decane,DMSO,373.15,100.0,0.05827801,0.93141985
Decane,DMSO,398.15,125.0,0.06923318,0.90049157
Decane,Acetic acid,298.15,25.0,0.00507253,0.99590126
Decane,Acetic acid,323.15,50.0,0.00760384,0.98803252
Decane,Acetic acid,348.15,75.0,0.01138032,0.97129093
Decane,Acetic acid,373.15,100.0,0.01702761,0.94113025
Decane,Acetic acid,398.15,125.0,0.02547142,0.8934524
Decane,Water,298.15,25.0,2.7143,0.99860433
Decane,Water,323.15,50.0,4.6941,0.99565455
Decane,Water,348.15,75.0,8.9512,0.98901091
Decane,Water,373.15,100.0,1.8497,0.97660941
Decane,Water,398.15,125.0,4.0325,0.95681976
Cyclohexane,Methanol,298.15,25.0,0.10289483,0.98255331
Cyclohexane,Methanol,323.15,50.0,0.1369334,0.94813332
Cyclohexane,Methanol,348.15,75.0,0.19482679,0.86880318
Cyclohexane,Methanol,373.15,100.0,0.32289433,0.68514716
Cyclohexane,Acetonitrile,298.15,25.0,0.02664567,0.97163448
Cyclohexane,Acetonitrile,323.15,50.0,0.03710232,0.95098149
Cyclohexane,Acetonitrile,348.15,75.0,0.05181036,0.92044671
Cyclohexane,Acetonitrile,373.15,100.0,0.07267748,0.87679686
Cyclohexane,Acetonitrile,398.15,125.0,0.10307552,0.81531934
Cyclohexane,DMSO,298.15,25.0,0.16330358,0.98680632
Cyclohexane,DMSO,323.15,50.0,0.18514723,0.97598258
Cyclohexane,DMSO,348.15,75.0,0.21382562,0.95917948
Cyclohexane,DMSO,373.15,100.0,0.25126006,0.93386935
Cyclohexane,DMSO,398.15,125.0,0.30111268,0.89586165
Cyclohexane,Acetic acid,298.15,25.0,0.06169084,0.99599535
Cyclohexane,Acetic acid,323.15,50.0,0.08314239,0.98766378
Cyclohexane,Acetic acid,348.15,75.0,0.1138532,0.96826358
Cyclohexane,Acetic acid,373.15,100.0,0.15980437,0.92840621
Cyclohexane,Acetic acid,398.15,125.0,0.23428378,0.85076891
Cyclohexane,Water,298.15,25.0,4.0798,0.99873405
Cyclohexane,Water,323.15,50.0,5.55,0.99603235
Cyclohexane,Water,348.15,75.0,7.965,0.98988324
Cyclohexane,Water,373.15,100.0,0.00011946,0.97825189
Cyclohexane,Water,398.15,125.0,0.00018449,0.95939423
Benzene,Water,298.15,25.0,0.0005482,0.99201798
Benzene,Water,323.15,50.0,0.00070613,0.98002047
Benzene,Water,348.15,75.0,0.00097332,0.95759944
Benzene,Water,373.15,100.0,0.00140636,0.92182087
Benzene,Water,398.15,125.0,0.00208444,0.87195907
Toluene,Water,298.15,25.0,0.00014772,0.99366432
Toluene,Water,323.15,50.0,0.00019477,0.98379853
Toluene,Water,348.15,75.0,0.00027744,0.96501808
Toluene,Water,373.15,100.0,0.00041724,0.93458133
Toluene,Water,398.15,125.0,0.00064628,0.89159384
Ethylbenzene,Methanol,298.15,25.0,0.36074789,0.74428212
Ethylbenzene,Acetic acid,298.15,25.0,0.32644584,0.90334124
Ethylbenzene,Water,298.15,25.0,4.5798,0.99446535
Ethylbenzene,Water,323.15,50.0,6.2316,0.98563696
Ethylbenzene,Water,348.15,75.0,9.2371,0.96861953
Ethylbenzene,Water,373.15,100.0,0.00014551,0.94075391
Ethylbenzene,Water,398.15,125.0,0.00023699,0.90105538
Methanol,Carbon tetrachloride,298.15,25.0,0.02692492,0.90147604
Methanol,Carbon tetrachloride,323.15,50.0,0.07667991,0.86163009
Methanol,Carbon tetrachloride,348.15,75.0,0.19052908,0.7876829
Ethanol,Carbon tetrachloride,298.15,25.0,0.3,0.5
Propanol,Water,298.15,25.0,0.05330827,0.20428315
Propanol,Water,323.15,50.0,0.0467328,0.2313083
Propanol,Water,348.15,75.0,0.04589056,0.2396299
